file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,12ed31be,jacsea,2025-10-08,19:15:16,-07:00,2025-10-08T19:15:16-07:00,0,5
style.css,2,css,a629860a,jacsea,2025-10-17,16:11:00,-07:00,2025-10-17T16:11:00-07:00,1,31
style.css,3,css,a629860a,jacsea,2025-10-17,16:11:00,-07:00,2025-10-17T16:11:00-07:00,1,23
style.css,4,css,12ed31be,jacsea,2025-10-08,19:15:16,-07:00,2025-10-08T19:15:16-07:00,0,0
style.css,5,css,12ed31be,jacsea,2025-10-08,19:15:16,-07:00,2025-10-08T19:15:16-07:00,0,0
style.css,6,css,84b9392d,jacsea,2025-10-03,15:07:29,-07:00,2025-10-03T15:07:29-07:00,0,4
style.css,7,css,84b9392d,jacsea,2025-10-03,15:07:29,-07:00,2025-10-03T15:07:29-07:00,1,43
style.css,8,css,84b9392d,jacsea,2025-10-03,15:07:29,-07:00,2025-10-03T15:07:29-07:00,0,42
style.css,9,css,84b9392d,jacsea,2025-10-03,15:07:29,-07:00,2025-10-03T15:07:29-07:00,0,0
style.css,10,css,84b9392d,jacsea,2025-10-03,15:07:29,-07:00,2025-10-03T15:07:29-07:00,1,23
style.css,11,css,12ed31be,jacsea,2025-10-08,19:15:16,-07:00,2025-10-08T19:15:16-07:00,1,15
style.css,12,css,12ed31be,jacsea,2025-10-08,19:15:16,-07:00,2025-10-08T19:15:16-07:00,1,18
style.css,13,css,12ed31be,jacsea,2025-10-08,19:15:16,-07:00,2025-10-08T19:15:16-07:00,1,12
style.css,14,css,12ed31be,jacsea,2025-10-08,19:15:16,-07:00,2025-10-08T19:15:16-07:00,1,32
style.css,15,css,12ed31be,jacsea,2025-10-08,19:15:16,-07:00,2025-10-08T19:15:16-07:00,0,0
style.css,16,css,12ed31be,jacsea,2025-10-08,19:15:16,-07:00,2025-10-08T19:15:16-07:00,0,0
style.css,17,css,12ed31be,jacsea,2025-10-08,19:15:16,-07:00,2025-10-08T19:15:16-07:00,0,3
style.css,18,css,12ed31be,jacsea,2025-10-08,19:15:16,-07:00,2025-10-08T19:15:16-07:00,1,12
style.css,19,css,12ed31be,jacsea,2025-10-08,19:15:16,-07:00,2025-10-08T19:15:16-07:00,1,18
style.css,20,css,12ed31be,jacsea,2025-10-08,19:15:16,-07:00,2025-10-08T19:15:16-07:00,1,23
style.css,21,css,12ed31be,jacsea,2025-10-08,19:15:16,-07:00,2025-10-08T19:15:16-07:00,1,25
style.css,22,css,a629860a,jacsea,2025-10-17,16:11:00,-07:00,2025-10-17T16:11:00-07:00,1,44
style.css,23,css,12ed31be,jacsea,2025-10-08,19:15:16,-07:00,2025-10-08T19:15:16-07:00,0,0
style.css,24,css,12ed31be,jacsea,2025-10-08,19:15:16,-07:00,2025-10-08T19:15:16-07:00,0,0
style.css,25,css,12ed31be,jacsea,2025-10-08,19:15:16,-07:00,2025-10-08T19:15:16-07:00,0,6
style.css,26,css,12ed31be,jacsea,2025-10-08,19:15:16,-07:00,2025-10-08T19:15:16-07:00,1,15
style.css,27,css,12ed31be,jacsea,2025-10-08,19:15:16,-07:00,2025-10-08T19:15:16-07:00,0,0
style.css,28,css,12ed31be,jacsea,2025-10-08,19:15:16,-07:00,2025-10-08T19:15:16-07:00,0,0
style.css,29,css,12ed31be,jacsea,2025-10-08,19:15:16,-07:00,2025-10-08T19:15:16-07:00,0,9
style.css,30,css,12ed31be,jacsea,2025-10-08,19:15:16,-07:00,2025-10-08T19:15:16-07:00,1,15
style.css,31,css,12ed31be,jacsea,2025-10-08,19:15:16,-07:00,2025-10-08T19:15:16-07:00,0,0
style.css,32,css,12ed31be,jacsea,2025-10-08,19:15:16,-07:00,2025-10-08T19:15:16-07:00,0,0
style.css,33,css,12ed31be,jacsea,2025-10-08,19:15:16,-07:00,2025-10-08T19:15:16-07:00,0,4
style.css,34,css,12ed31be,jacsea,2025-10-08,19:15:16,-07:00,2025-10-08T19:15:16-07:00,1,12
style.css,35,css,12ed31be,jacsea,2025-10-08,19:15:16,-07:00,2025-10-08T19:15:16-07:00,1,30
style.css,36,css,12ed31be,jacsea,2025-10-08,19:15:16,-07:00,2025-10-08T19:15:16-07:00,1,7
style.css,37,css,12ed31be,jacsea,2025-10-08,19:15:16,-07:00,2025-10-08T19:15:16-07:00,0,0
style.css,38,css,12ed31be,jacsea,2025-10-08,19:15:16,-07:00,2025-10-08T19:15:16-07:00,0,0
style.css,39,css,12ed31be,jacsea,2025-10-08,19:15:16,-07:00,2025-10-08T19:15:16-07:00,0,5
style.css,40,css,12ed31be,jacsea,2025-10-08,19:15:16,-07:00,2025-10-08T19:15:16-07:00,1,12
style.css,41,css,12ed31be,jacsea,2025-10-08,19:15:16,-07:00,2025-10-08T19:15:16-07:00,1,29
style.css,42,css,12ed31be,jacsea,2025-10-08,19:15:16,-07:00,2025-10-08T19:15:16-07:00,1,18
style.css,43,css,12ed31be,jacsea,2025-10-08,19:15:16,-07:00,2025-10-08T19:15:16-07:00,0,0
style.css,44,css,12ed31be,jacsea,2025-10-08,19:15:16,-07:00,2025-10-08T19:15:16-07:00,0,0
style.css,45,css,12ed31be,jacsea,2025-10-08,19:15:16,-07:00,2025-10-08T19:15:16-07:00,0,5
style.css,46,css,12ed31be,jacsea,2025-10-08,19:15:16,-07:00,2025-10-08T19:15:16-07:00,1,11
style.css,47,css,12ed31be,jacsea,2025-10-08,19:15:16,-07:00,2025-10-08T19:15:16-07:00,0,0
style.css,48,css,12ed31be,jacsea,2025-10-08,19:15:16,-07:00,2025-10-08T19:15:16-07:00,0,0
style.css,49,css,12ed31be,jacsea,2025-10-08,19:15:16,-07:00,2025-10-08T19:15:16-07:00,0,8
style.css,50,css,12ed31be,jacsea,2025-10-08,19:15:16,-07:00,2025-10-08T19:15:16-07:00,1,11
style.css,51,css,12ed31be,jacsea,2025-10-08,19:15:16,-07:00,2025-10-08T19:15:16-07:00,0,0
style.css,52,css,12ed31be,jacsea,2025-10-08,19:15:16,-07:00,2025-10-08T19:15:16-07:00,0,0
style.css,53,css,12ed31be,jacsea,2025-10-08,19:15:16,-07:00,2025-10-08T19:15:16-07:00,0,6
style.css,54,css,12ed31be,jacsea,2025-10-08,19:15:16,-07:00,2025-10-08T19:15:16-07:00,1,12
style.css,55,css,12ed31be,jacsea,2025-10-08,19:15:16,-07:00,2025-10-08T19:15:16-07:00,1,18
style.css,56,css,12ed31be,jacsea,2025-10-08,19:15:16,-07:00,2025-10-08T19:15:16-07:00,0,0
style.css,57,css,12ed31be,jacsea,2025-10-08,19:15:16,-07:00,2025-10-08T19:15:16-07:00,0,0
style.css,58,css,a629860a,jacsea,2025-10-17,16:11:00,-07:00,2025-10-17T16:11:00-07:00,0,6
style.css,59,css,a629860a,jacsea,2025-10-17,16:11:00,-07:00,2025-10-17T16:11:00-07:00,1,12
style.css,60,css,a629860a,jacsea,2025-10-17,16:11:00,-07:00,2025-10-17T16:11:00-07:00,0,0
style.css,61,css,a629860a,jacsea,2025-10-17,16:11:00,-07:00,2025-10-17T16:11:00-07:00,0,0
style.css,62,css,12ed31be,jacsea,2025-10-08,19:15:16,-07:00,2025-10-08T19:15:16-07:00,0,8
style.css,63,css,12ed31be,jacsea,2025-10-08,19:15:16,-07:00,2025-10-08T19:15:16-07:00,1,6
style.css,64,css,12ed31be,jacsea,2025-10-08,19:15:16,-07:00,2025-10-08T19:15:16-07:00,1,20
style.css,65,css,12ed31be,jacsea,2025-10-08,19:15:16,-07:00,2025-10-08T19:15:16-07:00,1,13
style.css,66,css,12ed31be,jacsea,2025-10-08,19:15:16,-07:00,2025-10-08T19:15:16-07:00,1,17
style.css,67,css,12ed31be,jacsea,2025-10-08,19:15:16,-07:00,2025-10-08T19:15:16-07:00,1,16
